timestamp_x,location,price,last4ccnum,loyaltynum,Timestamp,id,lat,long
2014-01-06 07:28:00,Brew've Been Served,11.34,4795,L8566,2014-01-06 07:28:00,4,36.04889595,24.87957697
2014-01-06 07:28:00,Brew've Been Served,11.34,4795,L8566,2014-01-06 07:28:00,13,36.05795834,24.9039656
2014-01-06 07:28:00,Brew've Been Served,11.34,4795,L8566,2014-01-06 07:28:00,14,36.0631692,24.89086046
2014-01-06 07:35:00,Brew've Been Served,8.33,6816,L8148,2014-01-06 07:35:00,10,36.07147359,24.8654561
2014-01-06 07:36:00,Hallowed Grounds,16.72,9617,L5553,2014-01-06 07:36:00,10,36.07054046,24.86754319
2014-01-06 07:37:00,Brew've Been Served,4.24,7384,L3800,2014-01-06 07:37:00,10,36.06963869,24.86971721
2014-01-06 07:37:00,Brew've Been Served,4.24,7384,L3800,2014-01-06 07:37:00,34,36.0503917,24.89283654
2014-01-06 07:37:00,Brew've Been Served,4.24,7384,L3800,2014-01-06 07:37:00,101,36.05014034,24.87804508
2014-01-06 07:38:00,Brew've Been Served,4.17,5368,L2247,2014-01-06 07:38:00,101,36.05015413,24.87207719
2014-01-06 07:43:00,Brew've Been Served,9.6,4948,L9406,2014-01-06 07:43:00,10,36.05784856,24.87617041
2014-01-06 07:43:00,Brew've Been Served,9.6,4948,L9406,2014-01-06 07:43:00,19,36.07937153,24.85757677
2014-01-06 07:43:00,Brew've Been Served,9.6,4948,L9406,2014-01-06 07:43:00,20,36.04995861,24.88116323
2014-01-06 07:43:00,Brew've Been Served,9.6,4948,L9406,2014-01-06 07:43:00,24,36.05792199,24.90226906
2014-01-06 07:43:00,Brew've Been Served,9.6,4948,L9406,2014-01-06 07:43:00,26,36.05274456,24.88137581
2014-01-06 07:43:00,Brew've Been Served,9.6,4948,L9406,2014-01-06 07:43:00,101,36.05039388,24.84218394
2014-01-06 07:43:00,Brew've Been Served,16.9,9683,L7291,2014-01-06 07:43:00,10,36.05784856,24.87617041
2014-01-06 07:43:00,Brew've Been Served,16.9,9683,L7291,2014-01-06 07:43:00,19,36.07937153,24.85757677
2014-01-06 07:43:00,Brew've Been Served,16.9,9683,L7291,2014-01-06 07:43:00,20,36.04995861,24.88116323
2014-01-06 07:43:00,Brew've Been Served,16.9,9683,L7291,2014-01-06 07:43:00,24,36.05792199,24.90226906
2014-01-06 07:43:00,Brew've Been Served,16.9,9683,L7291,2014-01-06 07:43:00,26,36.05274456,24.88137581
2014-01-06 07:43:00,Brew've Been Served,16.9,9683,L7291,2014-01-06 07:43:00,101,36.05039388,24.84218394
2014-01-06 07:47:00,Hallowed Grounds,16.53,8129,L8328,2014-01-06 07:47:00,10,36.0488967,24.87957102
2014-01-06 07:47:00,Hallowed Grounds,16.53,8129,L8328,2014-01-06 07:47:00,12,36.05772684,24.88241193
2014-01-06 07:47:00,Hallowed Grounds,16.53,8129,L8328,2014-01-06 07:47:00,18,36.05136892,24.87958185
2014-01-06 07:47:00,Hallowed Grounds,16.53,8129,L8328,2014-01-06 07:47:00,19,36.07456759,24.86572349
2014-01-06 07:47:00,Hallowed Grounds,16.53,8129,L8328,2014-01-06 07:47:00,28,36.07228746,24.87441765
2014-01-06 07:47:00,Hallowed Grounds,16.53,8129,L8328,2014-01-06 07:47:00,33,36.05150486,24.89855133
2014-01-06 07:48:00,Hallowed Grounds,10.66,3492,L7814,2014-01-06 07:48:00,3,36.08091949,24.85299423
2014-01-06 07:48:00,Hallowed Grounds,10.66,3492,L7814,2014-01-06 07:48:00,7,36.07146637,24.86545242
2014-01-06 07:48:00,Hallowed Grounds,10.66,3492,L7814,2014-01-06 07:48:00,12,36.05471746,24.88246776
2014-01-06 07:48:00,Hallowed Grounds,10.66,3492,L7814,2014-01-06 07:48:00,18,36.0483732,24.87956697
2014-01-06 07:48:00,Hallowed Grounds,10.66,3492,L7814,2014-01-06 07:48:00,19,36.07248226,24.86666884
2014-01-06 07:48:00,Hallowed Grounds,10.66,3492,L7814,2014-01-06 07:48:00,28,36.07171702,24.87134525
2014-01-06 07:48:00,Hallowed Grounds,10.66,3492,L7814,2014-01-06 07:48:00,32,36.06141942,24.87624086
2014-01-06 07:49:00,Coffee Cameleon,8.39,5921,L3295,2014-01-06 07:49:00,3,36.07983946,24.85493041
2014-01-06 07:49:00,Coffee Cameleon,8.39,5921,L3295,2014-01-06 07:49:00,12,36.05274701,24.88138871
2014-01-06 07:49:00,Coffee Cameleon,8.39,5921,L3295,2014-01-06 07:49:00,19,36.07079756,24.8681715
2014-01-06 07:49:00,Coffee Cameleon,8.39,5921,L3295,2014-01-06 07:49:00,32,36.0584187,24.87617477
2014-01-06 07:49:00,Coffee Cameleon,8.39,5921,L3295,2014-01-06 07:49:00,33,36.05025399,24.88682359
